jejemon,normal
drink,drink
ligo,ligo
lg,ligo
bath,bath
maligo,maligo
mligo,maligo
laba,laba
lb,loob
wash,laba
maglaba,maglaba
mglaba,maglaba
linis,linis
lns,linis
clean,clean
maglinis,maglinis
mglinis,maglinis
trabaho,trabaho
trbaho,trabaho
work,work
pasok,pasok
psk,pasok
enter,enter
labas,labas
lbs,labas
outside,outside
loob,loob
lob,loob
inside,inside
taas,taas
ts,taas
up,up
baba,baba
bb,baba
down,down
dwn,down
likod,likod
lkod,likod
back,back
bck,back
harap,harap
hrp,harap
front,front
tabi,tabi
tb,tabi
beside,beside
gitna,gitna
gtn,gitna
middle,middle
mddle,middle
malayo,malayo
mlayo,malayo
far,far
malapit,malapit
mlpit,malapit
near,near
mabilis,mabilis
mbilis,mabilis
fast,fast
mabagal,mabagal
mbagal,mabagal
mbgl,mabagal
slow,slow
slw,slow
malaki,malaki
mlaki,malaki
mlk,malaki
big,big
maliit,maliit
malit,maliit
mlit,maliit
small,small
goodbye,goodbye
godbye,goodbye
hows,how
labsxs,labs
behh,beh
lave,love
youhh,you
langg,lang
be,beh
young,yung
nkikita,nakikita
nkakalimut,nakakalimut
h4h4h,hahah
haah,haha
samsma,samasama
maiging,magiging
forevah,forever
maihiya,mahihiya
proces,process
pas,pass
kis,kiss
mis,miss
los,loss
bos,boss
mes,mess
les,less
bas,bass
mas,mass
gras,grass
addres,address
asses,assess
succes,success
posses,possess
expres,express
impres,impress
dismis,dismiss
commision,commission
discusion,discussion
necesary,necessary
posible,possible
asistant,assistant
lab,love
paragraf,paragraph
ayee,ayie
blok,block
ibablok,ibablock
maga,mag
msaya,masaya
tii,7-11
ehiee,hi
mgah,mga
mushtah,musta
nauhh,na
bheh,beh
tlagang,talagang
soobrang,sobrang
naminiss,namiss
kouhh,ko
kayoowh,kayo
akowhh,ako
pow,po
syempreh,syempre
mging,maging
bagayh,bagay
fow,po
llyk,like
cre,care
yur,your
bout,about
lyfe,life
fren,friend
sowee,sorry
sowe,sorry
pu,po
mxta,musta
jejeje,hehehe
hellowss,hello
kabeshiess,kabeshies
kowhh,ko
howss,how
y0w,you
pawhh,pa
sokul,school
kiniligss,kinilig
crushh,crush
mems,memes
masayayy,masaya
masayay,masaya
darehh,dare
dareh,dare
wid,with
cs,cause
feers,fierce
ma,my
cowhh,ko
cowh,ko
sensa,sensya
paswerds,password
diedes,died
yowh,yung
haked,hack
mawnns,mans
yowss,you
bhie,bhie
bhiie,bhie
babae,babae
bbae,babae
grl,girl
girL,girl
gyrl,girl
boi,boy
boii,boy
bouy,boy
lalaki,lalaki
llaki,lalaki
lbro,bro
brader,brother
ate,ate
kuya,kuya
mama,mama
papa,papa
tatay,tatay
nanay,nanay
tita,tita
tito,tito
lola,lola
lolo,lolo
makakalimutin,makakalimot
mkakalimutin,makakalimot
limot,nakalimot
alala,alala
remember,remember
reminber,remember
memry,memory
memorya,memorya
isip,isip
isp,isip
think,think
thnk,think
isipin,isipin
ispn,isipin
sks,sikhs
shaks,sikhs
awts,auts
awtsu,auts
hala,hala
hlaa,hala
waley,wala
wley,wala
nway,nway
anywy,anyway
meh,meh
mha,meh
scul,school
skul,school
skol,school
skulmate,schoolmate
clsmate,classmate
clmate,classmate
teacher,teacher
tchr,teacher
tcher,teacher
prof,professor
exam,exam
xam,exam
test,test
tst,test
quiz,quiz
qz,quiz
project,project
prjct,project
proj,project
homework,homework
hmwork,homework
hmwrk,homework
assignment,assignment
asgmt,assignment
assgnmnt,assignment
bday,birthday
brtday,birthday
party,party
prty,party
pty,party
celebration,celebration
celebrtion,celebration
gift,gift
gft,gift
present,present
prsnt,present
cake,cake
ck,cake
cke,cake
food,food
fd,food
pagkain,pagkain
pgkain,pagkain
rice,rice
rce,rice
kanin,kanin
kann,kanin
knin,kanin
ulam,ulam
ulm,ulam
sabaw,sabaw
sbaw,sabaw
pera,pera
prea,pera
money,money
mny,money
bayad,bayad
byd,bayad
payment,payment
pymnt,payment
utang,utang
utng,utang
debt,debt
dt,debt
libre,libre
lbre,libre
free,free
fre,free
mhl,mahal
expensive,expensive
xpnsv,expensive
mura,mura
mr,mura
cheap,cheap
chp,cheap
weather,weather
wthr,weather
weathr,weather
ulan,ulan
uln,ulan
rain,rain
rian,rain
araw,araw
arw,araw
sun,sun
snu,sun
init,init
nt,init
hot,hot
ht,hot
lamig,lamig
lmg,lamig
cld,cold
malamig,malamig
mlmg,malamig
hangin,hangin
hngn,hangin
wind,wind
wnd,wind
cellphone,cellphone
cellfone,cellphone
cp,cellphone
phone,phone
fone,phone
mobile,mobile
mobl,mobile
computer,computer
compter,computer
pc,computer
laptop,laptop
ltop,laptop
internet,internet
intrnt,internet
net,internet
wifi,wifi
wfi,wifi
data,data
dta,data
load,load
ld,load
music,music
msc,music
song,song
sng,song
kanta,kanta
knta,kanta
dance,dance
dnce,dance
sayaw,sayaw
syw,sayaw
movie,movie
movi,movie
film,film
flm,film
pelikula,pelikula
plkula,pelikula
tv,tv
television,television
tlvsn,television
show,show
shw,show
video,video
vdo,video
vdeo,video
gala,gala
gla,gala
lakad,lakad
lkd,lakad
walk,walk
wlk,walk
byahe,byahe
byhe,byahe
travel,travel
trvl,travel
jeep,jeep
jp,jeep
jeepney,jeepney
jpny,jeepney
bus,bus
bs,bus
taxi,taxi
txi,taxi
grab,grab
grb,grab
